Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Lockup Torque Converter,Carline Class Desc,Oil Viscosity,Calc Approach Desc,Label Recalc?
2.0,4,33.6471,5,15.0,2,2,N,not provided,GF-5 0W-20,Derived 5-cycle label,N
1.6,4,43.358999999999995,6,,2,2,Y,Small SUV 2WD,5W30,Derived 5-cycle label,N
4.0,6,23.3293,5,85.0,2,2,Y,not provided,SAE 5W-30,Derived 5-cycle label,
4.0,8,27.0244,9,10.0,2,2,Y,not provided,5W40,Derived 5-cycle label,N
3.0,6,30.430999999999997,9,10.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,
2.0,4,33.045,8,15.0,2,2,Y,Small SUV 2WD,0W-20 VW50800,Derived 5-cycle label,N
,6,25.419,6,15.0,2,2,Y,Standard SUV 2WD,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
,6,23.9176,6,85.0,2,2,Y,Standard SUV 4WD,SAE 5W-20 / API SN Plus,Derived 5-cycle label,N
2.0,4,32.0385,6,15.0,2,2,Y,not provided,SAE 5W30,Derived 5-cycle label,N
,6,24.1059,6,15.0,2,2,Y,Standard SUV 4WD,5W-20 API SN Plus,Derived 5-cycle label,N
2.0,4,41.1536,7,15.0,2,2,Y,not provided,GF-5 0W-20,Derived 5-cycle label,N
3.0,6,28.868000000000002,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
3.0,6,31.945,8,10.0,2,2,Y,Compact Cars,0W20,Derived 5-cycle label,N
,4,29.9584,9,10.0,2,2,Y,Standard SUV 2WD,5W30,Derived 5-cycle label,N
1.5,4,34.9379,6,15.0,2,2,Y,Small SUV 2WD,SAE 5W-20 / API SN PLUS,Derived 5-cycle label,N
2.5,4,40.1335,6,10.0,2,2,Y,Compact Cars,GF-5 0W-20,   ,N
2.0,4,46.955,8,,2,2,Y,Midsize Cars,5W30,   ,N
2.0,4,34.2607,8,15.0,2,2,Y,Two Seaters,##-##,Derived 5-cycle label,N
1.5,4,44.3546,7,10.0,2,2,Y,not provided,0W-20,Vehicle Specific 5-cycle label,N
3.0,6,28.6115,9,10.0,2,2,Y,Subcompact Cars,5W30,Derived 5-cycle label,N
,4,27.8088,7,10.0,2,2,N,Small SUV 4WD,0W40,Derived 5-cycle label,N
3.0,6,24.1704,8,10.0,2,2,Y,not provided,SAE 5W/40 API SL/CF,   ,N
,8,22.9899,9,10.0,2,2,Y,Small SUV 4WD,5W40,Derived 5-cycle label,N
3.5,6,29.9106,9,10.0,2,2,Y,Small SUV 2WD,0W-20,Derived 5-cycle label,N
1.6,4,50.0238,9,,2,2,Y,Midsize Cars,5W30,   ,N
5.3,8,21.0553,6,10.0,1,1,Y,Standard SUV 4WD,0W20,Derived 5-cycle label,N
3.6,6,25.9349,6,85.0,2,2,Y,"Special Purpose Vehicle, minivan 2WD",SAE 5W20,Derived 5-cycle label,N
2.0,4,32.6036,8,10.0,2,2,Y,not provided,5W-30,Derived 5-cycle label,N
2.7,4,29.3003,8,10.0,2,2,Y,not provided,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.0,6,34.4149,9,10.0,2,2,Y,Compact Cars,0W20,   ,N
1.4,4,42.3972,6,10.0,2,2,N,Compact Cars,5W30,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
3.0,6,27.5387,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
3.6,6,25.1864,8,15.0,2,2,Y,Small SUV 2WD,0W30 VW50200 / VW50400,Derived 5-cycle label,N
3.0,6,27.5659,9,10.0,2,2,Y,Subcompact Cars,5W30,Derived 5-cycle label,N
5.3,8,22.2001,6,10.0,1,1,Y,Standard Pick-up Trucks 4WD,0W20,Derived 5-cycle label,N
3.0,6,31.9221,8,10.0,2,2,Y,Subcompact Cars,##-##,Derived 5-cycle label,N
5.7,8,24.6535,8,10.0,1,1,Y,not provided,5W20,Derived 5-cycle label,N
3.0,6,31.9712,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
3.0,6,29.8946,8,,2,2,Y,Standard Pick-up Trucks 2WD,5W-40,Derived 5-cycle label,N
2.0,4,40.8413,7,15.0,2,2,Y,Compact Cars,5W40 VW 50200,Vehicle Specific 5-cycle label,N
1.4,4,40.4989,5,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
,6,27.8178,8,15.0,2,2,Y,Small SUV 4WD,5W-30 API SN Plus,Derived 5-cycle label,N
3.5,6,33.2838,8,15.0,2,2,Y,Midsize Cars,0W-20,   ,N
2.0,4,31.3335,8,10.0,2,2,Y,Midsize Cars,5W30,   ,N
3.0,6,32.1894,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
3.8,6,23.9352,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
6.7,12,18.2398,8,10.0,2,2,Y,not provided,5W30,Derived 5-cycle label,N
3.0,6,32.7664,10,,2,2,Y,not provided,5W-30 FA-4,Derived 5-cycle label,N
5.3,8,23.3674,8,10.0,1,1,Y,Standard Pick-up Trucks 4WD,0W20,Derived 5-cycle label,N
3.0,6,30.4266,8,10.0,2,2,Y,not provided,0W20,   ,N
2.0,4,30.1956,7,10.0,2,2,Y,Special Purpose Vehicle 2WD,0W30 DC 225.26,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,N
2.5,4,27.9534,6,10.0,2,2,N,Two Seaters,##-##,Derived 5-cycle label,N
3.5,6,22.9478,6,15.0,2,2,Y,Standard SUV 4WD,5W-30 API SN Plus,Derived 5-cycle label,N
2.0,4,40.5723,6,15.0,2,2,Y,Compact Cars,5W20 API or GF-4,   ,N
3.0,6,22.9079,8,15.0,2,2,Y,Standard SUV 4WD,5W20 GF4,Derived 5-cycle label,N
1.5,4,76.4872,1,10.0,2,2,Y,Midsize Cars,0W-20,   ,N
2.0,4,48.0552,1,15.0,2,2,Y,Midsize Cars,5W20 or GF-4,   ,N
1.8,4,41.2445,1,10.0,2,2,Y,not provided,0W-20,Derived 5-cycle label,N
6.3,12,16.97,7,10.0,2,2,N,Minicompact Cars,##-##,Derived 5-cycle label,N
5.3,8,24.4284,8,10.0,1,1,Y,Standard Pick-up Trucks 2WD,0W20,Derived 5-cycle label,N
2.0,4,31.4554,6,15.0,2,2,N,Compact Cars,SAE 0W30,   ,N
,8,22.6486,6,10.0,1,1,Y,Standard SUV 2WD,0W20,Derived 5-cycle label,N
,4,31.7531,7,15.0,2,2,Y,Small SUV 4WD,0W30 VW 50400,Vehicle Specific 5-cycle label,N
5.3,8,22.5168,8,10.0,1,1,Y,Standard Pick-up Trucks 4WD,0W20,Derived 5-cycle label,N
3.6,6,25.256999999999998,6,85.0,2,2,Y,Small SUV 2WD,SAE 5W20,Derived 5-cycle label,N
2.4,4,32.574,6,15.0,2,2,Y,Small SUV 2WD,5W20,Derived 5-cycle label,N
,6,29.3442,6,10.0,2,2,Y,Small SUV 4WD,GF-5 5W-30,Derived 5-cycle label,N
